date,total_vaccinations,ppl_vaccinated,ppl_fully_vaccinated
"Jan 15, 2021",0.07514933791543066,0.0788580428931005,0.053732713023632916
"Jan 16, 2021",0.03592104032307053,0.036815043993167595,0.030357774526576398
"Jan 17, 2021",0.016315051062304242,0.01604086740680777,0.017272221749415673
"Jan 18, 2021",0.04639982558186051,0.03940666576201801,0.09164080375512418
"Jan 19, 2021",0.06741462536662723,0.057275785632319165,0.13081358470799587
"Jan 20, 2021",0.07526284537481676,0.0647238587939094,0.13750736523228735
"Jan 21, 2021",0.07151928484133707,0.07037781860726389,0.07871120598775616
"Jan 22, 2021",0.06691800219341859,0.06920562237545491,0.05573444797760696
"Jan 23, 2021",0.03505779108965412,0.03461463862445813,0.03778175367576564
"Jan 24, 2021",0.014719223749342314,0.013495057395792154,0.02130758604487837
"Jan 25, 2021",0.050132863589974264,0.03794859898780101,0.11600697359694223
"Jan 26, 2021",0.05775539828208465,0.044785011257230334,0.123362517138633
"Jan 27, 2021",0.06358921289995578,0.050965338879380706,0.1225804540363673
"Jan 28, 2021",0.060907697502960545,0.053264309574405866,0.09401514554332868
"Jan 29, 2021",0.05603749978922834,0.05063798080411486,0.07627100048321256
"Jan 30, 2021",0.028251214379879208,0.02668003973572497,0.03474457126918584
"Jan 31, 2021",0.012419411807774283,0.01111093416227793,0.017388306614286364
"Feb 01, 2021",0.036455754682069186,0.025851668100993486,0.07712685445797884
"Feb 02, 2021",0.043257142871747645,0.0315814543052273,0.08771869645481023
"Feb 03, 2021",0.05259162549421159,0.04025313525685981,0.09681770984698801
"Feb 04, 2021",0.0548299177293583,0.04267837820844922,0.09676434288176927
"Feb 05, 2021",0.05251705565149334,0.04022178318028158,0.0929989850070485
"Feb 06, 2021",0.02741817099016597,0.02417309182902061,0.037435116186340434
"Feb 07, 2021",0.009170448195746639,0.007725066568672778,0.01326654452667797
"Feb 08, 2021",0.03190538166450296,0.02293328175059095,0.05903537537141701
"Feb 09, 2021",0.03865985512089165,0.027822461587309055,0.07067065556624241
"Feb 10, 2021",0.04349946787885095,0.03208730049084618,0.07650932247398234
"Feb 11, 2021",0.043531161430683474,0.03225136876941437,0.07477529387533521
"Feb 12, 2021",0.04513370726733479,0.034004549754113045,0.07446896825680072
"Feb 13, 2021",0.02460278945092198,0.020629004945422302,0.03436158624930008
"Feb 14, 2021",0.00961982045818921,0.008057109546415697,0.013243847281264376
"Feb 15, 2021",0.018925553037038245,0.014156662284410926,0.030337233346745318
"Feb 16, 2021",0.02553462941627327,0.018169793965126857,0.043226674407023324
"Feb 17, 2021",0.030222532429369453,0.020955235578630216,0.05228692326958506
"Feb 18, 2021",0.02774515719847903,0.018364347291395022,0.04887693379986202
"Feb 19, 2021",0.02866911574394959,0.017926690682759094,0.05254641903139157
"Feb 20, 2021",0.018454905554459167,0.012708456156895531,0.030915844968847805
